Driver,DriverSkillScore
ALB,0.7553705368470063
ALO,0.75954436778546
BEA,0.37719863006731796
BOT,0.7747403680565318
COL,0.45211570883258784
DEV,0.21431161045073824
DOO,0.18759694842471833
GAS,0.6161741806111549
HAM,0.5548981743985497
HUL,0.6459553918380699
LAW,0.4341898172574908
LEC,0.6238835114973829
MAG,0.47675297490031976
NOR,0.6724655376985291
OCO,0.5679925943360871
PER,0.2834303307230222
PIA,0.49458282676873855
RIC,0.5207117632321594
RUS,0.6097159830672434
SAI,0.5436638292005587
SAR,0.3679706058460738
STR,0.449182771261757
TSU,0.6994693461491219
VER,0.8956063041100364
ZHO,0.4204248916853946
